osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,2533291290,Актау,,Актау,,1512.9,40.8391781,70.0167307,,,
node,2513583748,Elchi,Elchi,Элчи,,1509.8,41.097951,70.2735039,,,
node,2314267541,,,,,1502.5,41.6653158,69.7975333,,,
node,2553957642,,,,,1498.6,41.7154696,70.0561,,,
node,1409451816,Куруджайлау,,Куруджайлау,,1495.5,41.6254484,69.6707525,,,
node,2322874229,,,,,1492.8,41.6643148,69.8588317,,,
node,2262651879,,,,,1486.2,41.6384902,69.6295812,,,
node,2681737244,,,,,1480.7,40.7837097,69.7927425,,,
node,2264071260,,,,,1479.8,41.6632198,69.6188058,,,
node,2479721371,,,,,1479.4,41.0517524,69.7766682,,,
node,2479721388,,,,,1479.4,41.0710942,69.7810472,,,
node,2473382038,Красная,,Красная,,1476.9,41.0467887,69.7945722,,,
node,5102884342,Пагды,,Пагды,,1476.8,40.9897181,70.8050609,,,
node,2314406955,,,,,1472.4,41.5558945,69.9084239,,,
node,2323879697,,,,,1472.1,41.6566331,69.8498327,,,
node,2259971028,,,,,1469.2,41.6446444,69.6084171,,,
node,2578068691,Smorchok,Smorchok,Сморчок,,1462,41.3895602,69.8160424,,,
node,5055267711,,,,,1456.4,41.0022655,70.7643556,,,
node,3058470904,,,,,1452.1,40.5649542,69.4812645,,,
node,2312886757,,,,,1444.4,41.6852647,69.9236121,,,
node,2533303083,,,,,1444.3,40.8032415,69.9693658,,,
node,2487936494,,,,,1440.6,41.0116837,69.8246358,,,
node,2537555438,,,,,1438.5,40.874,70.0460587,,,
node,2537554140,Чакалы,,Чакалы,,1434.2,40.8728291,70.074464,,,
node,2524067632,,,,,1432.9,41.0234199,70.25434,,,
node,2285187809,,,,,1431.0,41.7246435,69.9371939,,,
node,2505535425,,,,,1429.8,41.0186018,70.2259531,,,
node,2633500202,,,,,1428.2,40.718327,69.6646479,,,
node,2262651878,,,,,1425.3,41.6315198,69.6319893,,,
node,2303535359,,,,,1424.0,41.6467146,69.7355712,,,
node,1412079805,,,,,1412.8,41.6082805,69.9906236,,,
node,2657243562,,,,,1406.3,40.9997676,69.9092242,,,
node,2537555532,,,,,1401.2,40.8960103,70.0716262,,,
node,2562468546,,,,,1399.0,41.7383657,70.0684017,,,
node,5460921194,,,,,1391.0,40.6932809,69.6044851,,,
node,2571053092,,,,,1389.0,41.5886489,69.9955417,,,
node,2528807193,Kayragach,Kayragach,Кайрагач,,1381.2,40.9756123,70.1718332,,,
node,1414378200,Хаэрт,,,,1380.2,41.0229583,70.2126976,,,
node,2578063656,Дикобраз,,,,1380,41.4159704,69.849202,,,
node,2480022538,,,,,1378.8,41.1171666,69.7674493,,,
node,2321626877,,,,,1376.6,41.4444149,69.8193211,,,
node,2477527720,,,,,1375.2,41.0944034,69.7243196,,,
node,2522039453,,,,,1374.1,41.0831519,70.2052924,,,
